TF,candidate_group,papers_returned,papers_entity_eligible,final_usable_tier,judgement_source,received_only_entity_eligible_papers,n_ineligible_in_original_packet,relevant_ineligible_ids,key_ineligible_ids,adjudication_note
HIRIP3,gremln_only,10,3,none,original_judge_full_packet_posthoc_eligible_relevant_keys,False,7,,,Original LLM judge received the full retrieval packet (including 7 non-eligible papers); all papers marked relevant/key were entity-eligible (post-hoc equivalence under selective-rerun protocol)
HIVEP3,genie3_only,10,0,none,zero_eligible_retained_original_none,False,10,,,Zero entity-eligible papers; original judge (full packet) already none; final = none (no entity-filtered LLM re-judge under selective-rerun protocol)
HMGN3,gremln_only,10,0,none,zero_eligible_retained_original_none,False,10,,,Zero entity-eligible papers; original judge (full packet) already none; final = none (no entity-filtered LLM re-judge under selective-rerun protocol)
ID2,genie3_only,10,9,weak,original_judge_full_packet_posthoc_eligible_relevant_keys,False,1,,,Original LLM judge received the full retrieval packet (including 1 non-eligible papers); all papers marked relevant/key were entity-eligible (post-hoc equivalence under selective-rerun protocol)
IRF8,shared,10,10,weak,original_judge_full_packet_posthoc_eligible_relevant_keys,False,0,,,Original LLM judge received the full retrieval packet (including 0 non-eligible papers); all papers marked relevant/key were entity-eligible (post-hoc equivalence under selective-rerun protocol)
JUNB,shared,10,10,moderate,original_judge_full_packet_posthoc_eligible_relevant_keys,False,0,,,Original LLM judge received the full retrieval packet (including 0 non-eligible papers); all papers marked relevant/key were entity-eligible (post-hoc equivalence under selective-rerun protocol)
KIF22,gremln_only,10,4,none,original_judge_full_packet_posthoc_eligible_relevant_keys,False,6,,,Original LLM judge received the full retrieval packet (including 6 non-eligible papers); all papers marked relevant/key were entity-eligible (post-hoc equivalence under selective-rerun protocol)
MAF,genie3_only,10,4,weak,original_judge_full_packet_posthoc_eligible_relevant_keys,False,6,,,Original LLM judge received the full retrieval packet (including 6 non-eligible papers); all papers marked relevant/key were entity-eligible (post-hoc equivalence under selective-rerun protocol)
MDM2,genie3_only,10,10,none,original_judge_full_packet_posthoc_eligible_relevant_keys,False,0,,,Original LLM judge received the full retrieval packet (including 0 non-eligible papers); all papers marked relevant/key were entity-eligible (post-hoc equivalence under selective-rerun protocol)
MLX,gremln_only,10,4,none,original_judge_full_packet_posthoc_eligible_relevant_keys,False,6,,,Original LLM judge received the full retrieval packet (including 6 non-eligible papers); all papers marked relevant/key were entity-eligible (post-hoc equivalence under selective-rerun protocol)
MSC,gremln_only,10,0,none,entity_filtered_rerun_zero_eligible,True,10,PMC10900800;PMC12126738;PMC3444478;PMC3854780;PMC7795906;PMC7937648,PMC7937648,Re-judged on empty entity-eligible packet; final usable tier = none
MYC,genie3_only,10,9,moderate,original_judge_full_packet_posthoc_eligible_relevant_keys,False,1,,,Original LLM judge received the full retrieval packet (including 1 non-eligible papers); all papers marked relevant/key were entity-eligible (post-hoc equivalence under selective-rerun protocol)
NFIL3,gremln_only,10,10,moderate,original_judge_full_packet_posthoc_eligible_relevant_keys,False,0,,,Original LLM judge received the full retrieval packet (including 0 non-eligible papers); all papers marked relevant/key were entity-eligible (post-hoc equivalence under selective-rerun protocol)
NR4A2,genie3_only,10,8,missing,original_judge_with_ineligible_relevant_or_key,False,2,PMC12889511,PMC12889511,Original judge marked relevant/key papers that failed entity identity; relevant_ineligible=['PMC12889511']; key_ineligible=['PMC12889511']; final=missing
PLAGL2,shared,10,5,none,original_judge_full_packet_posthoc_eligible_relevant_keys,False,5,,,Original LLM judge received the full retrieval packet (including 5 non-eligible papers); all papers marked relevant/key were entity-eligible (post-hoc equivalence under selective-rerun protocol)
PRDM1,shared,10,10,strong,original_judge_full_packet_posthoc_eligible_relevant_keys,False,0,,,Original LLM judge received the full retrieval packet (including 0 non-eligible papers); all papers marked relevant/key were entity-eligible (post-hoc equivalence under selective-rerun protocol)
RBPJ,gremln_only,10,10,weak,original_judge_full_packet_posthoc_eligible_relevant_keys,False,0,,,Original LLM judge received the full retrieval packet (including 0 non-eligible papers); all papers marked relevant/key were entity-eligible (post-hoc equivalence under selective-rerun protocol)
SMAP2,genie3_only,10,0,none,zero_eligible_retained_original_none,False,10,,,Zero entity-eligible papers; original judge (full packet) already none; final = none (no entity-filtered LLM re-judge under selective-rerun protocol)
SNAPC4,gremln_only,10,0,none,zero_eligible_retained_original_none,False,10,,,Zero entity-eligible papers; original judge (full packet) already none; final = none (no entity-filtered LLM re-judge under selective-rerun protocol)
SRP9,gremln_only,10,1,none,original_judge_full_packet_posthoc_eligible_relevant_keys,False,9,,,Original LLM judge received the full retrieval packet (including 9 non-eligible papers); all papers marked relevant/key were entity-eligible (post-hoc equivalence under selective-rerun protocol)
STAT1,shared,10,8,none,original_judge_full_packet_posthoc_eligible_relevant_keys,False,2,,,Original LLM judge received the full retrieval packet (including 2 non-eligible papers); all papers marked relevant/key were entity-eligible (post-hoc equivalence under selective-rerun protocol)
STAT4,gremln_only,10,6,none,original_judge_full_packet_posthoc_eligible_relevant_keys,False,4,,,Original LLM judge received the full retrieval packet (including 4 non-eligible papers); all papers marked relevant/key were entity-eligible (post-hoc equivalence under selective-rerun protocol)
STAT5B,genie3_only,10,10,weak,original_judge_full_packet_posthoc_eligible_relevant_keys,False,0,,,Original LLM judge received the full retrieval packet (including 0 non-eligible papers); all papers marked relevant/key were entity-eligible (post-hoc equivalence under selective-rerun protocol)
STAU2,gremln_only,10,5,none,original_judge_full_packet_posthoc_eligible_relevant_keys,False,5,,,Original LLM judge received the full retrieval packet (including 5 non-eligible papers); all papers marked relevant/key were entity-eligible (post-hoc equivalence under selective-rerun protocol)
TFDP1,gremln_only,10,4,none,original_judge_full_packet_posthoc_eligible_relevant_keys,False,6,,,Original LLM judge received the full retrieval packet (including 6 non-eligible papers); all papers marked relevant/key were entity-eligible (post-hoc equivalence under selective-rerun protocol)
TGIF1,genie3_only,10,8,none,original_judge_full_packet_posthoc_eligible_relevant_keys,False,2,,,Original LLM judge received the full retrieval packet (including 2 non-eligible papers); all papers marked relevant/key were entity-eligible (post-hoc equivalence under selective-rerun protocol)
TRAF4,genie3_only,10,5,none,original_judge_full_packet_posthoc_eligible_relevant_keys,False,5,,,Original LLM judge received the full retrieval packet (including 5 non-eligible papers); all papers marked relevant/key were entity-eligible (post-hoc equivalence under selective-rerun protocol)
ZBTB32,shared,10,1,weak,original_judge_full_packet_posthoc_eligible_relevant_keys,False,9,,,Original LLM judge received the full retrieval packet (including 9 non-eligible papers); all papers marked relevant/key were entity-eligible (post-hoc equivalence under selective-rerun protocol)
ZEB2,genie3_only,10,8,moderate,original_judge_full_packet_posthoc_eligible_relevant_keys,False,2,,,Original LLM judge received the full retrieval packet (including 2 non-eligible papers); all papers marked relevant/key were entity-eligible (post-hoc equivalence under selective-rerun protocol)
ZNF121,gremln_only,10,0,none,zero_eligible_retained_original_none,False,10,PMC11237943,,Zero entity-eligible papers; original judge (full packet) already none; final = none (no entity-filtered LLM re-judge under selective-rerun protocol)
ZNF706,gremln_only,10,1,none,original_judge_full_packet_posthoc_eligible_relevant_keys,False,9,,,Original LLM judge received the full retrieval packet (including 9 non-eligible papers); all papers marked relevant/key were entity-eligible (post-hoc equivalence under selective-rerun protocol)
