TF,candidate_group,in_gremln_top25,in_genie3_top25,exact_query,papers_retrieved,papers_relevant,primary_relevant_papers,direct_causal_papers,judge_tier,rubric_valid,rubric_reasons,final_usable_tier,key_paper_ids,tier_rationale,confidence,judge_input_sha256,judge_output_sha256,model_id,prompt_sha256
GTF2A2,genie3_only,False,True,GTF2A2 TCR inhibition,10,0,0,0,none,True,,none,,"No retrieved paper mentions or studies GTF2A2, so none materially links the candidate to TCR inhibition or a related inhibitory T cell phenotype. Retrieval is driven by 'TCR' keyword collisions: the hits are TCR engineering, adoptive immunotherapy, checkpoint (PTPN22, BTLA/PD-1), computational TCR design and kinase-inhibitor studies of other molecules. The genuine TCR-inhibition papers concern PTPN22 and BTLA/PD-1, not GTF2A2. No primary study provides direct, indirect, or associative evidence about the regulator.",high,2749f4a3a73650e2ffb3e8bc25de6841a5a8e5f7ec89ba14d5cd1943a010fd0b,22ffc8824d8089adff4043db99b79704f7997b22ec06f3c312cc0a6f3a308ad4,claude-4.5-sonnet,baa3767bd5a4684a639b08937ce91f30256753bca5e451d7ad5ca8216d3aa251
GTF3C2,gremln_only,True,False,GTF3C2 TCR inhibition,10,0,0,0,none,True,,none,,"No retrieved primary study links GTF3C2 to TCR inhibition or a related inhibitory T cell phenotype. The single GTF3C2 paper (PMC12078175) studies hepatocellular carcinoma proliferation in non-immune cells. All other papers concern TCR engineering, immunotherapy, or computation without involving GTF3C2, and the only genuine TCR-inhibition study (PMC11237943) is about PTPN22, a different regulator. Evidence for GTF3C2 is therefore absent.",high,208e6b8ed4508d651c994f13fba597ae3eaf0bf4a12dda5912d2f284209bf78a,7b4a0d624f80f5ff45fe7032ff78f3f0a1b675878847483471afe54e552e0ec6,claude-4.5-sonnet,baa3767bd5a4684a639b08937ce91f30256753bca5e451d7ad5ca8216d3aa251
HIRIP3,gremln_only,True,False,HIRIP3 TCR inhibition,10,0,0,0,none,True,,none,,"The three papers that actually study HIRIP3 (PMC10854748 histone H2A chaperone, PMC11890862 INO80E/HIRIP3 gene expression, PMC12179093 Alzheimer's biomarker) concern chromatin biology, transcription and neurodegeneration with no T cell or TCR content. The TCR-relevant papers (PMC7860602, PMC3842781, PMC2212737, PMC11237943, PMC2196323, PMC12346228, PMC11092459) address other molecules (Lck, PTPN22, viral Tip, TrIP) and never mention HIRIP3. No retrieved primary study materially links HIRIP3 to TCR inhibition or a related inhibitory T cell phenotype.",high,d59cb7a134dfcfdf3271e9719a12f39cf7aae7f6c869e73269649a4ee1494ee3,43cfcaa6c8e61c3d8a5393b6252044b37968ad9faf130147adb4a7cd3805ed8e,claude-4.5-sonnet,baa3767bd5a4684a639b08937ce91f30256753bca5e451d7ad5ca8216d3aa251
HIVEP3,genie3_only,False,True,HIVEP3 TCR inhibition,10,0,0,0,none,True,,none,,"None of the 10 retrieved papers mention or study HIVEP3. Although several address TCR inhibition or inhibitory phenotypes (PTPN22, PD-1, BTLA, exhaustion), all concern other regulators. No retrieved primary study materially links HIVEP3 to TCR inhibition or a closely related inhibitory T cell phenotype, so no evidence tier is assigned.",high,83486330e62f5e4bfd6c7a43df40e715222a76b8ed6b4ad61798b1fe496ebb3a,d53423561a3df741799b88c3170c333c3e895ea6bf3f0b35a19bc5c79a489c51,claude-4.5-sonnet,baa3767bd5a4684a639b08937ce91f30256753bca5e451d7ad5ca8216d3aa251
HMGN3,gremln_only,True,False,HMGN3 TCR inhibition,10,0,0,0,none,True,,none,,"No retrieved paper studies HMGN3. The results concern distinct molecules (PTPN22, HMGN1, HMGN2, HMGB2, PCSK9) or generic TCR/immunotherapy topics. None provide primary experimental, computational, or associative evidence materially linking HMGN3 to TCR-signalling inhibition or a closely related inhibitory T cell phenotype, so no tier above none can be supported.",high,e1c3d2b0e91de4fc4b03c08a1d48b6acdbeb6b7abeab9d56a1f57b1869fcaad8,76710db7683d7d1fe845c53007631fd3c8824eb61da19f08fcdef416949da579,claude-4.5-sonnet,baa3767bd5a4684a639b08937ce91f30256753bca5e451d7ad5ca8216d3aa251
ID2,genie3_only,False,True,ID2 TCR inhibition,10,1,1,1,weak,True,,weak,PMC10902300,"Only PMC10902300 is a primary study addressing an inhibitory T cell phenotype (CD8+ exhaustion) and provides causal Id2-knockout evidence affecting exhausted-subset generation and PD-1-blockade response. However, it does not explicitly demonstrate impaired or attenuated TCR function, so under the mandatory exhaustion rule it cannot support moderate. All remaining relevant papers concern general T-cell activation, IFN-γ production, or lineage/helper differentiation (PMC11885165, PMC4915968, PMC12147642), non-T systems (NK, dendritic, prostate, thyroid), a different regulator (Id3, PMC2824806), or are a review (PMC3061294). No primary study links ID2 to proximal TCR-signalling inhibition, an inhibitory checkpoint, or TCR-linked anergy/hyporesponsiveness with a functional TCR readout; where evidence lies between tiers the lower is assigned, giving weak.",moderate,1db45017c93cc228e3e2a05cdaed1a5d9c86e4ceb298262892eb07ebdfecac27,c7dd7b0ef7dfd1775e5cebc78caef7f7989aef8cc4207ee96e78209c6908c9ca,claude-4.5-sonnet,baa3767bd5a4684a639b08937ce91f30256753bca5e451d7ad5ca8216d3aa251
IRF8,shared,True,True,IRF8 TCR inhibition,10,0,0,0,weak,True,,weak,PMC3112536;PMC5727025;PMC9454819,"No retrieved primary study provides direct causal, indirect mechanistic, or even associative evidence linking IRF8 to proximal TCR signalling inhibition, an inhibitory checkpoint response, TCR-linked anergy/hyporesponsiveness, or exhaustion with demonstrated impaired TCR function. The only T-cell-intrinsic primary studies (PMC3112536, PMC5727025) concern Th17/Th9 lineage differentiation, which the rubric classes as weak-tier (differentiation/lineage specification). Remaining evidence is non-T-cell (myeloid, hepatocyte, tumor, B-cell, microglia), a review (PMC9454819), or an expression-correlation computational study (PMC11190126). Under the mandatory rules, differentiation and expression correlations are insufficient for moderate, and reviews/computational inference cannot raise the tier; the presence of T-cell differentiation primary studies supports weak over none.",high,e821e9f880703f7d6c6386a802e81a9f71e04b0c2e0f3f7dd1d1acf97150dd7b,9c025dd5189d527a258cb2855faae1d45c8263145d6b274ba96bcb5678ce3aa8,claude-4.5-sonnet,baa3767bd5a4684a639b08937ce91f30256753bca5e451d7ad5ca8216d3aa251
JUNB,shared,True,True,JUNB TCR inhibition,10,2,2,2,moderate,True,,moderate,PMC11884676;PMC11496645,"Two primary studies materially link JunB to inhibitory T cell phenotypes: JunB deficiency raises co-inhibitory receptors PD-1/TIM3 in mouse CD8+ T cells (PMC11884676), and JunB perturbation drives CAR-T exhaustion/anergy gene programs (PMC11496645). Both provide relevant but incomplete evidence: neither directly demonstrates altered proximal TCR signalling, one is checkpoint-receptor expression only and the other is CAR (not TCR) signalling without explicit impaired-TCR-function readout. This meets moderate but not the strong requirement of direct causal TCR inhibition with a functional readout; between tiers, the lower tier applies.",moderate,ade9ef4c0aeafab802c4c2f602761c47c17b6c5525cf6cd402f91bbcce970cad,b1947688b78b893c4a0cd8bd13a7937dd36a2159d25aa97f82385d1dd80c8ab0,claude-4.5-sonnet,baa3767bd5a4684a639b08937ce91f30256753bca5e451d7ad5ca8216d3aa251
KIF22,gremln_only,True,False,KIF22 TCR inhibition,10,0,0,0,none,True,,none,,"No retrieved paper materially links KIF22 to TCR inhibition or a closely related inhibitory T cell phenotype. KIF22 papers (PMC11233920, PMC7176455, PMC11076398, PMC6996685) address mitosis/proliferation in non-T-cell cancer or chondrocyte systems. TCR-inhibition-relevant papers concern other genes/topics: PMC11237943 is PTPN22, PMC12346228 is a TCR-repertoire review, and PMC11014665 is TCR-T therapy. PMC9398805, PMC10824666 and PMC10907621 concern KIF11/KIF18A. None provide primary causal evidence connecting KIF22 to TCR signalling inhibition, checkpoint response, anergy, or exhaustion with impaired TCR function.",high,f0f8305c28f6b609423ab88ab83e2302753eeea0d1981118b2dfb5505bbd297e,1b40a12b936a04cec8623b47e9191e45400923ec19fcd4b69536f2bac1dfcd06,claude-4.5-sonnet,baa3767bd5a4684a639b08937ce91f30256753bca5e451d7ad5ca8216d3aa251
MAF,genie3_only,False,True,MAF TCR inhibition,10,2,1,1,weak,True,,weak,PMC6468010;PMC12689506,"MAF-specific primary evidence is limited to Treg/TH17 differentiation and Treg suppressive function (PMC6468010) and lineage programming (PMC12726077); no primary study demonstrates that altering MAF changes proximal TCR-signalling inhibition, a checkpoint response on the T cell, or TCR-linked anergy/hyporesponsiveness with a functional TCR readout. The immune-checkpoint framing appears only in a review (PMC12689506), which cannot support moderate. Remaining TCR-inhibition papers do not involve MAF. Between weak and moderate, the lower tier is assigned.",moderate,e6d6c1f08b60a4361377b3c8168ac673d3eb6a5c98bf42cfdc9ac00a43faead1,9551e9be92c0cc6a1c8efd5f87a5faddcdaadd441ce25ae17f5e749dc02e8655,claude-4.5-sonnet,baa3767bd5a4684a639b08937ce91f30256753bca5e451d7ad5ca8216d3aa251
MDM2,genie3_only,False,True,MDM2 TCR inhibition,10,0,0,0,none,True,,none,,"No retrieved primary study materially links MDM2 to TCR signalling inhibition or a closely related inhibitory T cell phenotype (checkpoint, anergy, hyporesponsiveness, or TCR-linked exhaustion). Papers are dominated by tumor-intrinsic oncology (liposarcoma, breast cancer, glioblastoma, ameloblastoma, keratinocytes) and biochemical p53-MDM2 work. The two papers touching immunity (PMC11388719, PMC11251213) are reviews focused on enhancing antitumor immunity and cannot independently support a tier; neither documents MDM2 altering TCR signalling or an inhibitory T cell state.",high,630968b3611d8fb12929cc2bba0508b285007687e6c9dcc32305c4fc46b00e0f,4eeeb9aa2096a49d057fa39e896aa1070bfe4e319120c0df5429b7e9a8621359,claude-4.5-sonnet,baa3767bd5a4684a639b08937ce91f30256753bca5e451d7ad5ca8216d3aa251
MLX,gremln_only,True,False,MLX TCR inhibition,10,0,0,0,none,True,,none,,"The MLX-specific papers (PMC11398402, PMC11900861, PMC11425880, PMC10970504) concern metabolism, aging and insect development in non-immune systems with no TCR content. The TCR-related papers (PMC8978620, PMC4209802, PMC8704919, PMC5587706, PMC11237943, PMC6504948) do not study MLX; the only genuine TCR-inhibition study involves PTPN22, not MLX. No retrieved primary study materially links MLX to TCR inhibition or a related inhibitory T cell phenotype.",high,5869019639f9396581e6284688e17378333229232b8837a503cba7a57bddb870,1fec057db5d49617cb85df6a7873ea1c832aa7e79ce4e4486b7bfe85b287e93d,claude-4.5-sonnet,baa3767bd5a4684a639b08937ce91f30256753bca5e451d7ad5ca8216d3aa251
MSC,gremln_only,True,False,MSC TCR inhibition,10,6,6,1,strong,True,,strong,PMC7937648,"PMC7937648 is a primary experimental study showing direct, perturbational evidence that MSCs suppress proximal TCR signalling and Ca2+ flux, with ICAM-1/CD43 blockade reversing the effect and a mechanistic readout (disrupted TCR microcluster formation). This satisfies the strong criterion of direct causal evidence altering TCR signalling attenuation with a functional/mechanistic readout. Remaining MSC papers add supportive but weaker context (general immunosuppression, proliferation, Th17 differentiation, checkpoint pathways).",moderate,82394da1018873d7f7a3087288b02ae1934c1c07aab42d64e783dda202901cf8,64974b9b97197f79a0c6d6868871f4245bedc141a5a889d9b111b4419ced750d,claude-4.5-sonnet,baa3767bd5a4684a639b08937ce91f30256753bca5e451d7ad5ca8216d3aa251
MYC,genie3_only,False,True,MYC TCR inhibition,10,1,1,0,moderate,True,,moderate,PMC9360539,"Only one retrieved primary study (PMC9360539) materially connects MYC to an inhibitory T cell context, providing indirect mechanistic evidence that TGFbeta suppresses CD8+ T cell activation by limiting Myc-dependent metabolic reprogramming. This satisfies the moderate criterion of indirect mechanistic linkage to an inhibitory phenotype, but falls short of strong: there is no direct MYC perturbation altering TCR signalling, checkpoint, or anergy, the readout is metabolic suppression rather than proximal TCR inhibition, and the direction indicates MYC opposes (rather than promotes) the inhibitory signal. All other papers are non-T-cell, cancer-biology, MYC-as-antigen, activation biology, or a review, and cannot support the tier.",low,86a58a521c246a941fcdb05909b5fafadb6db2c041b4dde3a99c3861937018aa,405126b31683725c14f9e55e9c2271e27439c7bd9aa23990d02d92d326fbffe8,claude-4.5-sonnet,baa3767bd5a4684a639b08937ce91f30256753bca5e451d7ad5ca8216d3aa251
NFIL3,gremln_only,True,False,NFIL3 TCR inhibition,10,2,2,1,moderate,True,,moderate,PMC11563780;PMC6802641,"No primary study provides direct causal evidence that altering NFIL3 changes proximal TCR signalling inhibition, so strong is excluded. However, PMC11563780 provides perturbational (knockout) evidence causally linking NFIL3 to expression of the inhibitory checkpoint Tim3 with a functional Th1 readout, and PMC6802641 provides direct perturbational evidence in the inhibitory Treg context. These constitute relevant but incomplete primary evidence connecting NFIL3 to inhibitory T cell phenotypes without a direct TCR inhibition experiment, satisfying moderate.",moderate,ae73e08142f9dc667084b1d22a6874f772b1954bffb05351e9ff9f0cee1f1381,697f204657e72c62d123d7a31c8301ae9d53a7d6c17ab4c512a14dd36f69fbc5,claude-4.5-sonnet,baa3767bd5a4684a639b08937ce91f30256753bca5e451d7ad5ca8216d3aa251
NR4A2,genie3_only,False,True,NR4A2 TCR inhibition,10,4,3,3,strong,False,supporting_excerpt >20 words for PMC7883379,missing,PMC12889511;PMC11439235;PMC6546093,Multiple independent primary experimental studies provide consistent direct perturbational evidence that NR4A (including NR4A2) promotes closely related inhibitory T cell phenotypes. PMC12889511 shows individual NR4A degradation (incl. NR4A2) in primary human CD8 T cells suppresses co-inhibitory checkpoint receptors and restores effector function; PMC11439235 shows NR4A2/3 knockdown reverses TCR-driven exhaustion in human Vδ2 T cells; PMC6546093 shows Nr4a loss reverses TCR-linked hyporesponsiveness. Together these satisfy the strong criterion of direct causal evidence in inhibitory checkpoint/hyporesponsiveness contexts with functional/mechanistic readouts.,moderate,8c09fbe9a801dc49348d4aa3114126548f2c6d7c048c104a7a1377686fd5ebc8,e25f14196e6f916e2243484ea962d32b291b8cee58d343f0abd15e38362aea29,claude-4.5-sonnet,baa3767bd5a4684a639b08937ce91f30256753bca5e451d7ad5ca8216d3aa251
PLAGL2,shared,True,True,PLAGL2 TCR inhibition,10,0,0,0,none,True,,none,,"No retrieved primary study links PLAGL2 to TCR inhibition or a related inhibitory T cell phenotype. All PLAGL2 papers concern non-immune cancer/epithelial proliferation, EMT or survival; the TCR/T-cell inhibition papers (checkpoint, signal-strength dysfunction, engineered TCRs) never mention or perturb PLAGL2. There is no overlap connecting the regulator to the phenotype.",high,6a844e66e601468a26b4f59e2c756667a834d46efdd9fb83afd93a842c033190,9ba3197a18fca6812dfac82d562a9247d006de66a4a64033677acbc3d1c81e5a,claude-4.5-sonnet,baa3767bd5a4684a639b08937ce91f30256753bca5e451d7ad5ca8216d3aa251
PRDM1,shared,True,True,PRDM1 TCR inhibition,10,1,1,1,strong,True,,strong,PMC9097451,"One primary experimental study in human primary T cells (PMC9097451) provides direct perturbational evidence (both PRDM1 overexpression and reduced expression) that PRDM1 drives T cell hyporesponsiveness, with mechanistic readouts (chromatin accessibility, direct FOXP3/KLF2 binding, IL2 downregulation, Treg/FOXP3 expansion). This meets the strong criterion of direct causal evidence altering TCR-linked hyporesponsiveness with a mechanistic readout. Remaining retrieved papers are non-immune, NK/NKT effector, or T cell differentiation/exhaustion-marker studies without demonstrated impaired TCR function, so they do not independently raise or lower the tier.",moderate,6f864b57b3d754920336aa70f08792f1e2f2c4d4a6a25707281373889cdf9a98,b5a0124f128422c6df8176882289c52cef4578907b933b59dbac3aadf4ecdaf0,claude-4.5-sonnet,baa3767bd5a4684a639b08937ce91f30256753bca5e451d7ad5ca8216d3aa251
RBPJ,gremln_only,True,False,RBPJ TCR inhibition,10,2,2,2,weak,True,,weak,PMC12068301;PMC9887061,"Two independent primary experimental studies (PMC12068301, PMC9887061) provide direct perturbational evidence that RBPJ maintains/promotes CD8+ T cell exhaustion in HCC, with functional anti-tumor readouts. However, neither explicitly demonstrates impaired or attenuated TCR signalling/function; per the mandatory rule, exhaustion alone is insufficient for moderate. No retrieved primary study causally addresses proximal TCR inhibition, an inhibitory checkpoint response, anergy or hyporesponsiveness. Remaining papers are computational/associative, generic T cell development/differentiation, or non-T-cell systems. With relevant evidence gated below moderate and the lower-tier rule applied, the tier is weak.",moderate,fca056f8455d12b6e8b2ba0c04722d88e4a83b2be54e551cab981746c099b368,db0ebd4dd4c79e9a58b82bca452828883e4b283f3c4d21de3bff2ee0b817ba61,claude-4.5-sonnet,baa3767bd5a4684a639b08937ce91f30256753bca5e451d7ad5ca8216d3aa251
SMAP2,genie3_only,False,True,SMAP2 TCR inhibition,10,0,0,0,none,True,,none,,"No retrieved primary study materially links SMAP2 to TCR inhibition or a related inhibitory T cell phenotype. The only SMAP2 paper (PMC11106232) is an Arabidopsis plant promoter study with no immune relevance. All remaining papers address TCR biology but study other regulators (PTPN22, SLAP, PD-1) or unrelated topics, and none mention SMAP2. This retrieval reflects query-term matching on 'SMAP2'/'TCR' rather than genuine evidence connecting the regulator to TCR inhibition.",high,96a6276ecf1559fcd0920c437af799e584373b1a7265a38644c2ae0384967784,a8f13bd221d7f8674ac93bba8dee3a3b573d520de035ddd1d3075b41b46c2d22,claude-4.5-sonnet,baa3767bd5a4684a639b08937ce91f30256753bca5e451d7ad5ca8216d3aa251
SNAPC4,gremln_only,True,False,SNAPC4 TCR inhibition,10,0,0,0,none,True,,none,,"None of the 10 retrieved papers mention or study SNAPC4. Several concern TCR inhibition or downregulation generally (e.g., PTPN22, programmed TCR downregulation), but no retrieved primary study materially links SNAPC4 to TCR signalling inhibition or any closely related inhibitory T cell phenotype. With no regulator-specific evidence, the none tier applies.",high,524ebdf3b091dc8c16b7f607906fb4ccd57a1555e254183a9e0e3783a43a1a2a,9a4f109aaec878193f4dcee54deb15b8b97e7097b0ac1ea0205bd5a27847beac,claude-4.5-sonnet,baa3767bd5a4684a639b08937ce91f30256753bca5e451d7ad5ca8216d3aa251
SRP9,gremln_only,True,False,SRP9 TCR inhibition,10,0,0,0,none,True,,none,,"No retrieved primary study links SRP9 to TCR inhibition or a related inhibitory T cell phenotype. The only SRP9 paper (PMC11581171) is a review on SRP9/SRP14 regulation of Alu RNA with no T cell context. All other papers concern TCR engineering, specificity, downregulation, or a different regulator (PTPN22), none involving SRP9.",high,46b3ec7cd567f0b8388610638f10a4a8b1184b240333f4b6b92b5633ecd19191,b313accb72355684d0109028d56bf9ffa88c0b8cc32ffdee5b68f114c8939188,claude-4.5-sonnet,baa3767bd5a4684a639b08937ce91f30256753bca5e451d7ad5ca8216d3aa251
