TF,candidate_full_name,candidate_group,gremln_rank,genie3_rank,exact_query,papers_returned,papers_entity_eligible,papers_relevant,relevant_primary_papers,direct_causal_papers,original_judge_tier,original_rubric_valid,entity_audit_status,entity_excluded_paper_ids,rerun_required,corrected_judge_tier,corrected_rubric_valid,final_usable_tier,confidence,key_eligible_paper_ids,retrieval_input_hash,judge_input_hash,judge_output_hash,human_check_status,notes
GTF2A2,general transcription factor IIA subunit 2,genie3_only,4,22,GTF2A2 TCR inhibition,10,0,0,0,0,none,True,clean (no acronym collision),,False,none,True,none,high,,080409351e0c88f751321c0517ad74458656c3bd20f2716397f6a85258dfaeb5,2749f4a3a73650e2ffb3e8bc25de6841a5a8e5f7ec89ba14d5cd1943a010fd0b,22ffc8824d8089adff4043db99b79704f7997b22ec06f3c312cc0a6f3a308ad4,not_required,unchanged: entity gate removed no relevant/key paper
GTF3C2,general transcription factor IIIC subunit 2,gremln_only,3,175,GTF3C2 TCR inhibition,10,1,0,0,0,none,True,clean (no acronym collision),,False,none,True,none,high,,7ce0143d9847683627ae383a2aaeedea8c127d41a3799025994e1b4ae0b87d3a,208e6b8ed4508d651c994f13fba597ae3eaf0bf4a12dda5912d2f284209bf78a,7b4a0d624f80f5ff45fe7032ff78f3f0a1b675878847483471afe54e552e0ec6,not_required,unchanged: entity gate removed no relevant/key paper
HIRIP3,HIRA interacting protein 3,gremln_only,2,112,HIRIP3 TCR inhibition,10,3,0,0,0,none,True,clean (no acronym collision),,False,none,True,none,high,,26607c53a82bb01fd7e313ed0666926d69559201cf7986ddd7fbce96cc05766a,d59cb7a134dfcfdf3271e9719a12f39cf7aae7f6c869e73269649a4ee1494ee3,43cfcaa6c8e61c3d8a5393b6252044b37968ad9faf130147adb4a7cd3805ed8e,not_required,unchanged: entity gate removed no relevant/key paper
HIVEP3,HIVEP zinc finger 3,genie3_only,6,4,HIVEP3 TCR inhibition,10,0,0,0,0,none,True,clean (no acronym collision),,False,none,True,none,high,,091af2d6aac1c4c676627c6c076b192d6c6c1637a7540c448fe2f62a5ffbfe8b,83486330e62f5e4bfd6c7a43df40e715222a76b8ed6b4ad61798b1fe496ebb3a,d53423561a3df741799b88c3170c333c3e895ea6bf3f0b35a19bc5c79a489c51,not_required,unchanged: entity gate removed no relevant/key paper
HMGN3,high mobility group nucleosomal binding domain 3,gremln_only,2,163,HMGN3 TCR inhibition,10,0,0,0,0,none,True,clean (no acronym collision),,False,none,True,none,high,,325898921c899850c6aa574e63f3b13a960797aae5baebad02f748256852e461,e1c3d2b0e91de4fc4b03c08a1d48b6acdbeb6b7abeab9d56a1f57b1869fcaad8,76710db7683d7d1fe845c53007631fd3c8824eb61da19f08fcdef416949da579,not_required,unchanged: entity gate removed no relevant/key paper
ID2,inhibitor of DNA binding 2,genie3_only,6,19,ID2 TCR inhibition,10,9,1,1,1,weak,True,clean (no acronym collision),,False,weak,True,weak,moderate,PMC10902300,2d082a65b05ca1ad4586d988f71a61899d2225a721b359b6081dcec4cf66ff04,1db45017c93cc228e3e2a05cdaed1a5d9c86e4ceb298262892eb07ebdfecac27,c7dd7b0ef7dfd1775e5cebc78caef7f7989aef8cc4207ee96e78209c6908c9ca,not_required,unchanged: entity gate removed no relevant/key paper
IRF8,interferon regulatory factor 8,shared,3,5,IRF8 TCR inhibition,10,10,0,0,0,weak,True,clean (no acronym collision),,False,weak,True,weak,high,PMC3112536;PMC5727025;PMC9454819,5e27a2afa9432c26bbd5c61befafb20f537d86f415d2992afe5a3dd9d8e4dcfa,e821e9f880703f7d6c6386a802e81a9f71e04b0c2e0f3f7dd1d1acf97150dd7b,9c025dd5189d527a258cb2855faae1d45c8263145d6b274ba96bcb5678ce3aa8,not_required,unchanged: entity gate removed no relevant/key paper
JUNB,"JunB proto-oncogene, AP-1 transcription factor subunit",shared,3,2,JUNB TCR inhibition,10,10,2,2,2,moderate,True,clean (no acronym collision),,False,moderate,True,moderate,moderate,PMC11884676;PMC11496645,c9900bdd76b10b97f0822a4d7405a61953623f2a85270383bc9698278c6ea39b,ade9ef4c0aeafab802c4c2f602761c47c17b6c5525cf6cd402f91bbcce970cad,b1947688b78b893c4a0cd8bd13a7937dd36a2159d25aa97f82385d1dd80c8ab0,verified,unchanged: entity gate removed no relevant/key paper
KIF22,kinesin family member 22,gremln_only,1,45,KIF22 TCR inhibition,10,4,0,0,0,none,True,clean (no acronym collision),,False,none,True,none,high,,67b7aa4e1a1ce742f68eb97dde114492a9169da653f2a6b0a08379434b4c1a66,f0f8305c28f6b609423ab88ab83e2302753eeea0d1981118b2dfb5505bbd297e,1b40a12b936a04cec8623b47e9191e45400923ec19fcd4b69536f2bac1dfcd06,not_required,unchanged: entity gate removed no relevant/key paper
MAF,MAF bZIP transcription factor,genie3_only,7,24,MAF TCR inhibition,10,4,2,1,1,weak,True,clean (no acronym collision),,False,weak,True,weak,moderate,PMC6468010;PMC12689506,eaeb5aab25f2620c3622a21741dd3ed95b422d882a438c0ef2ca8ee8f155b0a8,e6d6c1f08b60a4361377b3c8168ac673d3eb6a5c98bf42cfdc9ac00a43faead1,9551e9be92c0cc6a1c8efd5f87a5faddcdaadd441ce25ae17f5e749dc02e8655,not_required,unchanged: entity gate removed no relevant/key paper
MDM2,MDM2 proto-oncogene,genie3_only,7,11,MDM2 TCR inhibition,10,10,0,0,0,none,True,clean (no acronym collision),,False,none,True,none,high,,4d63540398525f4336e83dcfc90fb997e31dd4b7fda9e9ffe4f318757d7fdacb,630968b3611d8fb12929cc2bba0508b285007687e6c9dcc32305c4fc46b00e0f,4eeeb9aa2096a49d057fa39e896aa1070bfe4e319120c0df5429b7e9a8621359,not_required,unchanged: entity gate removed no relevant/key paper
MLX,MAX dimerization protein MLX,gremln_only,2,121,MLX TCR inhibition,10,4,0,0,0,none,True,clean (no acronym collision),,False,none,True,none,high,,37a295d79a89584a3f922a559626f88da9e03db98261905ebda8e82b7e92400a,5869019639f9396581e6284688e17378333229232b8837a503cba7a57bddb870,1fec057db5d49617cb85df6a7873ea1c832aa7e79ce4e4486b7bfe85b287e93d,not_required,unchanged: entity gate removed no relevant/key paper
MSC,musculin,gremln_only,3,46,MSC TCR inhibition,10,0,0,0,0,strong,True,corrected (removed 8 non-identity papers; rerun),PMC10900800;PMC11885616;PMC12126738;PMC12580868;PMC3444478;PMC3854780;PMC7795906;PMC7937648,True,none,True,none,low,,4b9063b832ab73a715f71703f227ae653300280d92611e94dd796845bb5044e2,4b274359429ec3aa754415237e0b0734a1cd1a05a6251ff6b8969d015f753da9,0697c2a1e2a7bb2048c0ced431e3fc01843ed72fb859ca24772c742676d22eb3,not_required,entity-filtered rerun tier=none; rubric passed
MYC,"MYC proto-oncogene, bHLH transcription factor",genie3_only,4,13,MYC TCR inhibition,10,9,1,1,0,moderate,True,clean (no acronym collision),,False,moderate,True,moderate,low,PMC9360539,d41693662a01ab246674e1cd61b1f8672db688cd6b091b79ed69e55d317c4e95,86a58a521c246a941fcdb05909b5fafadb6db2c041b4dde3a99c3861937018aa,405126b31683725c14f9e55e9c2271e27439c7bd9aa23990d02d92d326fbffe8,verified,unchanged: entity gate removed no relevant/key paper
NFIL3,"nuclear factor, interleukin 3 regulated",gremln_only,2,60,NFIL3 TCR inhibition,10,10,2,2,1,moderate,True,clean (no acronym collision),,False,moderate,True,moderate,moderate,PMC11563780;PMC6802641,b2c54ae31588b5e2131d5b7859aa4f1060a9357201322d50abbacc1599934bed,ae73e08142f9dc667084b1d22a6874f772b1954bffb05351e9ff9f0cee1f1381,697f204657e72c62d123d7a31c8301ae9d53a7d6c17ab4c512a14dd36f69fbc5,verified,unchanged: entity gate removed no relevant/key paper
NR4A2,nuclear receptor subfamily 4 group A member 2,genie3_only,4,17,NR4A2 TCR inhibition,10,8,3,2,2,strong,False,clean (no acronym collision),,False,strong,False,missing,moderate,PMC11439235;PMC6546093,77d6ad59fcb3d2bdccc9953a1ab781716960ee240a3f517503af7d26d3dd8f41,8c09fbe9a801dc49348d4aa3114126548f2c6d7c048c104a7a1377686fd5ebc8,e25f14196e6f916e2243484ea962d32b291b8cee58d343f0abd15e38362aea29,not_required,unchanged: missing outcome preserved (not rerun)
PLAGL2,PLAG1 like zinc finger 2,shared,3,8,PLAGL2 TCR inhibition,10,5,0,0,0,none,True,clean (no acronym collision),,False,none,True,none,high,,28b1eb595cb287efbbd523d746728326c6a82d3a8f95a01ee468f56e509d042d,6a844e66e601468a26b4f59e2c756667a834d46efdd9fb83afd93a842c033190,9ba3197a18fca6812dfac82d562a9247d006de66a4a64033677acbc3d1c81e5a,not_required,unchanged: entity gate removed no relevant/key paper
PRDM1,PR/SET domain 1,shared,3,25,PRDM1 TCR inhibition,10,10,1,1,1,strong,True,clean (no acronym collision),,False,strong,True,strong,moderate,PMC9097451,fbe0dcfbe29f681edfe972fcbcca2bf58ed8997cc2773121ff474f7ad591f2da,6f864b57b3d754920336aa70f08792f1e2f2c4d4a6a25707281373889cdf9a98,b5a0124f128422c6df8176882289c52cef4578907b933b59dbac3aadf4ecdaf0,verified,unchanged: entity gate removed no relevant/key paper
RBPJ,recombination signal binding protein for immunoglobulin kappa J region,gremln_only,2,37,RBPJ TCR inhibition,10,10,2,2,2,weak,True,clean (no acronym collision),,False,weak,True,weak,moderate,PMC12068301;PMC9887061,dd955540b5089ed0a5f143e82ef4df4f7442597685aaff951408a864a2ecbcfa,fca056f8455d12b6e8b2ba0c04722d88e4a83b2be54e551cab981746c099b368,db0ebd4dd4c79e9a58b82bca452828883e4b283f3c4d21de3bff2ee0b817ba61,not_required,unchanged: entity gate removed no relevant/key paper
SMAP2,small ArfGAP2,genie3_only,4,16,SMAP2 TCR inhibition,10,0,0,0,0,none,True,"flagged non-key (1 wrong_entity, 0 ambiguous); tier unaffected",PMC11106232,False,none,True,none,high,,1e6cde54bf907b07a461e196e7631875cec6cf69a82e5e89789f7467019e2a50,96a6276ecf1559fcd0920c437af799e584373b1a7265a38644c2ae0384967784,a8f13bd221d7f8674ac93bba8dee3a3b573d520de035ddd1d3075b41b46c2d22,not_required,unchanged: entity gate removed no relevant/key paper
SNAPC4,small nuclear RNA activating complex polypeptide 4,gremln_only,2,154,SNAPC4 TCR inhibition,10,0,0,0,0,none,True,clean (no acronym collision),,False,none,True,none,high,,27e7d7ebcaf887a8146663554671306239a45cff66208c01a006d7677991f6db,524ebdf3b091dc8c16b7f607906fb4ccd57a1555e254183a9e0e3783a43a1a2a,9a4f109aaec878193f4dcee54deb15b8b97e7097b0ac1ea0205bd5a27847beac,not_required,unchanged: entity gate removed no relevant/key paper
SRP9,signal recognition particle 9,gremln_only,3,175,SRP9 TCR inhibition,10,1,0,0,0,none,True,clean (no acronym collision),,False,none,True,none,high,,3292b15f5d0359e843e6c2a39b103ca914c87c5ead7c80448c68ac760166b31a,46b3ec7cd567f0b8388610638f10a4a8b1184b240333f4b6b92b5633ecd19191,b313accb72355684d0109028d56bf9ffa88c0b8cc32ffdee5b68f114c8939188,not_required,unchanged: entity gate removed no relevant/key paper
STAT1,signal transducer and activator of transcription 1,shared,2,6,STAT1 TCR inhibition,10,8,0,0,0,none,True,clean (no acronym collision),,False,none,True,none,moderate,,8b911a0489de5a68ac3414d27ec21065c354403e7db85f275a6b275141fee41a,941db11fcb3f77ec14927d3d6c0d80b68752f39d268c49be68fe96881ae23083,70cec0317e389e894a7a822aabaabd21746d910680b4774ca1bd6e44817feee0,not_required,unchanged: entity gate removed no relevant/key paper
STAT4,signal transducer and activator of transcription 4,gremln_only,2,111,STAT4 TCR inhibition,10,6,0,0,0,none,True,clean (no acronym collision),,False,none,True,none,moderate,,6d761c54aa2e802ba9b6323fe82f9c2c8fdbcb807fd4f70fb9dd23d02981ea9d,7f173161ffdda2a05c511d57daccb619e89081d58a4c184a7f43b65cd6f1ff66,27091f619cfb9ba5edd7e9efbd1b545d4f1ac946ea2bb309c66fee1018c24665,not_required,unchanged: entity gate removed no relevant/key paper
STAT5B,signal transducer and activator of transcription 5B,genie3_only,8,20,STAT5B TCR inhibition,10,10,1,1,0,weak,True,clean (no acronym collision),,False,weak,True,weak,moderate,PMC11722272,6168f05a371febb7a665a1a47e9aa5bb22e7c72cdb9247bdd13d9e1284b403c1,e722f3a9cb8cd4a678bf5374bb2a0739c48e25418e424e477c3606ab508c1f05,f369bd8cdd25c6f9640ecc7ddd8dfe909c798ec9442992c9abfcf0a4fe752263,not_required,unchanged: entity gate removed no relevant/key paper
STAU2,staufen double-stranded RNA binding protein 2,gremln_only,2,47,STAU2 TCR inhibition,10,5,0,0,0,none,True,clean (no acronym collision),,False,none,True,none,high,,4842b7524c528b21ec279e1d48b0fc897056d7f6c9562790bcd210bacc69475d,d1bc00314502fe1a242dd4001e0ab79379833bfb7e648a71a9a73f9c64f4e41f,fe534d9b603312408222610020030071ecb2a4a6bc96548cabfecf58661254c0,not_required,unchanged: entity gate removed no relevant/key paper
TFDP1,transcription factor Dp-1,gremln_only,3,38,TFDP1 TCR inhibition,10,4,0,0,0,none,True,clean (no acronym collision),,False,none,True,none,high,,7e05ee0026e02f23e5a78e9be200ae0049908d74c21fbfc53d75dec3eec3f2a6,4da9cf6d9954b0f746b9d550e09a59dab93a577cd6a6e582adb53275881b7f1e,7d4bb77b3daaa6d83151d631d61754d0abd5fd80e9427e649d0c6f7024114e9d,not_required,unchanged: entity gate removed no relevant/key paper
TGIF1,TGFB induced factor homeobox 1,genie3_only,5,23,TGIF1 TCR inhibition,10,8,0,0,0,none,True,clean (no acronym collision),,False,none,True,none,high,,6fc12b6ec93a3a2d738b9c885864ee8acf5ee9ca7d767f3f2e4d591fac569290,710a9d449b52671466cea329d18359dbabd5ce46c6ee57c433b308dfd144720d,2994761a4717757d4a88befb084936096c3dacb4aec35a256443e5fb22755b20,not_required,unchanged: entity gate removed no relevant/key paper
TRAF4,TNF receptor associated factor 4,genie3_only,6,21,TRAF4 TCR inhibition,10,5,0,0,0,none,True,clean (no acronym collision),,False,none,True,none,high,,2882a1e80ee889268732175c915ed1d702e9653fecd5f6c47a56cd4037572c44,b05b5db43c3b9c599293e4f287ef32fbd65367aa5a48b59d49eef99ca3971e61,1279648fd81b53882800b426175f3b2c9e5262da4e5e91ad79c1fb38e1cb1130,not_required,unchanged: entity gate removed no relevant/key paper
ZBTB32,zinc finger and BTB domain containing 32,shared,3,9,ZBTB32 TCR inhibition,10,1,1,1,0,weak,True,clean (no acronym collision),,False,weak,True,weak,moderate,PMC5578684,a733478915e388b57c3ea20c0b62476dec96a3e20eec261bfd4ef7aed2c8d682,fdf6d3eba65ba9ea077ef016c06b403507a1b6362e3aca2e3e02c903e6bf2018,890b2deffc101e49073124f789588237247f0dcf028b158b7ead83cec4c7952b,not_required,unchanged: entity gate removed no relevant/key paper
ZEB2,zinc finger E-box binding homeobox 2,genie3_only,6,14,ZEB2 TCR inhibition,10,8,1,1,0,moderate,True,clean (no acronym collision),,False,moderate,True,moderate,moderate,PMC12456470,59117558b7ddeea61e5a3c0686eb2e9f48ee69f6ccfc3d87dbfff5fdff911ca1,3d62fb9e7fd7831df1d06a17ea4421c9a6c686793de121e8c04d22060ea63183,479fe887606b28f841f8f421391d616226b4a27d4f6a9a30e0ed829a8b51bb73,verified,unchanged: entity gate removed no relevant/key paper
ZNF121,zinc finger protein 121,gremln_only,3,175,ZNF121 TCR inhibition,10,0,0,0,0,none,True,clean (no acronym collision),,False,none,True,none,high,,0902cdafe2c869439453329a6faeb28fcd45ae3c6c559951252029e2612ff6d8,796f69b2271a76625afd6772e152e781437e5f5b52afef47b8c9cd36a73924c3,469c072dbaf3871ca8b960cb723632d5bf3a1e99f4bfd476aa4a266ac82954ef,not_required,unchanged: entity gate removed no relevant/key paper
ZNF706,zinc finger protein 706,gremln_only,3,167,ZNF706 TCR inhibition,10,1,0,0,0,none,True,clean (no acronym collision),,False,none,True,none,high,,2864d64d455d6efd04be2704876066d200a3d31f03dde8416ce9d79115dad57e,0e55cce3f75a5d56821aa446785b72ff5f2e863ddca31199adee9da46104c008,86a7f2b447a2612edd7e31135bf3c76ab551785e3c3a1998f51cf688692c207d,not_required,unchanged: entity gate removed no relevant/key paper
