TF,is_BTLA_vs_TCR_seed,paperclip_evidence_tier,paperclip_primary_phenotype,tcr_checkpoint_evidence,activation_exhaustion_evidence,btla_specific_evidence,paperclip_direction,paperclip_key_source,paperclip_short_rationale,in_gremln_top25_seed_excluded,in_genie3_top25_seed_excluded,in_gremln_top25_seed_inclusive,in_genie3_top25_seed_inclusive,paperclip_reviewed,query_template
STAT4,False,strong,differentiation_th1,yes,yes,no,promotes,PMC7097918,STAT4 is an immunoregulator central to Th1 and autoimmune/inflammatory disease.,True,False,True,False,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
STAT5B,False,moderate,function,no,yes,no,promotes,PMC3907443,STAT5B target genes in human T cells enrich for immune function/proliferation.,False,True,False,False,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
STAU2,False,none,none,no,no,no,na,,Staufen-2 RNA-binding protein; not a transcription factor.,True,False,True,False,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
TBX21,True,strong,differentiation_th1,yes,yes,no,promotes_Th1_effector,PMC4036734,T-bet (TBX21) is the master Th1/effector TF regulating cytokine production.,False,False,False,True,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
TFDP1,False,none,none,no,no,no,na,,DP-1 (E2F partner) cell-cycle factor; no immune-specific role retrieved.,True,False,True,False,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
TGIF1,False,none,none,no,no,no,na,,TGFB-induced homeobox 1; no T-cell TF literature retrieved.,False,True,False,False,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
TRAF4,False,none,none,no,no,no,na,,TNF-receptor-associated adaptor; not a transcription factor.,False,True,False,False,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
ZBTB32,False,weak,lymphocyte,no,no,no,context_dependent,PMC5869932,ZBTB family regulates lymphocyte responses (evidence mainly B-cell).,True,True,True,True,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
ZEB2,False,strong,differentiation_effector,yes,yes,no,promotes_effector,PMC4647262,ZEB2 (downstream of T-bet) drives terminal CD8 effector/memory differentiation.,False,True,False,True,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
ZNF121,False,none,none,no,no,no,na,,No T-cell TF literature retrieved.,True,False,True,False,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
ZNF706,False,none,none,no,no,no,na,,No T-cell TF literature retrieved (Zbtb20 is the related memory-CD8 factor).,True,False,True,False,True,'<TF> transcription factor CD4 T cell activation exhaustion checkpoint BTLA regulation' (+ TF-focused second pass for canonical TFs)
